Did you respond to the sector survey on the National Lottery Heritage Fund website?:Response,Organisation Type:Response,What is the approximate number of paid employees (full time equivalent) at your business/organisation?:Response,What is the approximate number of volunteers working with your business/organisation?:Response,Area:Archaeology,Area:Archives,Area:Community heritage,Area:Conservation Architecture/Project Management,Area:Gardens and Landscapes,Area:Historic buildings (including industrial heritage sites),Area:Intangible (e.g. cultural traditions people’s memories dialects),Area:Maritime and transport heritage,Area:Places of worship,Area:Planning,Area:Public parks,Area:My organisation does not work in or represent any heritage areas,Area:Other,Geography:All English regions,Geography:East Midlands,Geography:West Midlands,Geography:East of England,Geography:London,Geography:South East of England,Geography:South West of England,Geography:North East of England,Geography:North West of England,Geography:Yorkshire and the Humber,Effects:Loss or postponement of work,Effects:Business-critical staff absence,Effects:Lack of available volunteers,Effects:Postponement/cancellation of planned income-generating or marketing events,Effects:Reduced opening/business hours,Effects:Supply chain problems,Effects:Increased overheads,Effects:Reduced visitor numbers,Effects:Have had to furlough staff,Effects:Have had to lay staff off,Effects:Additional costs e.g.  investment in IT/home working,Effects:Delayed payment by debtors,Measures expected:Coronavirus Job Retention Scheme,Measures expected:Deferring VAT and Self-Assessment payments,Measures expected:Self-employment Income Support Scheme,Measures expected:Statutory Sick Pay relief package for small and medium sized businesses (SMEs),Measures expected:12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Measures expected:Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Measures expected:Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Measures expected:Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Measures expected:Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,Measures expected:HMRC Time To Pay Scheme,Measures expected:Awaiting further clarification of the Government support,Continued operation if the current restrictions continue until September 2020 with measures:Response,Continued operation if the current restrictions continue until September 2020 without measures:Response,Level of risk:Response,Opportunities to work better:Response
No,Faith-based or church organisation,21-50,101-500,Archaeology,Archives,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,East Midlands,,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,Increased overheads,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,,,,Awaiting further clarification of the Government support,3-4 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Faith-based or church organisation,1-5,1-5,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Faith-based or church organisation,1-5,11-20,,,,,,,,,Places of worship,,,,,,,,East of England,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,High risk – without major intervention our business/organisation is unlikely to survive,Disagree
No,Faith-based or church organisation,0 (entirely voluntary),1-5,,,,,,,,,Places of worship,,,,,,,,,,,South West of England,,,,,,Lack of available volunteers,,,,,,,,,,,,,,,,,,,,,Don’t know,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Faith-based or church organisation,1-5,21-50,,Archives,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,,,Loss or postponement of work,,,,,,,Reduced visitor numbers,Have had to furlough staff,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Faith-based or church organisation,0 (entirely voluntary),0,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Faith-based or church organisation,0 (entirely voluntary),11-20,,,,,,,,,Places of worship,,,,,,,,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,2-3 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,101-500,1-5,,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,Places of worship,Planning,Public parks,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,,,HMRC Time To Pay Scheme,,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Faith-based or church organisation,0 (entirely voluntary),51-100,,,,,,,,,Places of worship,,,,,,East Midlands,,,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),21-50,101-500,Archaeology,Archives,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,,Public parks,,,,East Midlands,,,,,,,,,,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),101-500,21-50,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,,,,,,,,,,South East of England,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Faith-based or church organisation,1-5,21-50,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,London,,,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),6-10,51-100,Archaeology,Archives,Community heritage,,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,,,,,,,,,East of England,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,Increased overheads,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
Yes,Faith-based or church organisation,0 (entirely voluntary),6-10,,,,,,,,,Places of worship,,,,,,,,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Disagree
Yes,Other (please specify),1-5,11-20,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,Other,,,West Midlands,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Faith-based or church organisation,0 (entirely voluntary),11-20,,,,,,,,,Places of worship,,,,,,,,East of England,,,,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),11-20,101-500,,,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,Public parks,,,,,,,,,South West of England,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,,,,,,4-6 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Incorporated private sector organisation in the heritage sector,1-5,0,Archaeology,Archives,Community heritage,,Gardens and Landscapes,,,Maritime and transport heritage,,,,,,,,,East of England,,South East of England,South West of England,North East of England,,Yorkshire and the Humber,Loss or postponement of work,,,,,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,3-4 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Faith-based or church organisation,501+,Don’t know,,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,North West of England,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,,,,,,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,,,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Other (please specify),501+,Don’t know,Archaeology,Archives,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,Planning,Public parks,,,,,West Midlands,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
Yes,Sole trader or Partnership dealing in heritage products or services,1-5,21-50,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,Other,,,,,,,,North East of England,North West of England,,Loss or postponement of work,,,,Reduced opening/business hours,,,,,,Additional costs e.g.  investment in IT/home working,,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,4-6 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),1-5,501+,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,Other,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,Coronavirus Job Retention Scheme,,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,,Awaiting further clarification of the Government support,4-6 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Charity or third sector organisation with a heritage purpose (not for profit),11-20,1-5,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,,,Intangible (e.g. cultural traditions people’s memories dialects),,,,,,Other,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,,More than 6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),1-5,11-20,,,Community heritage,,Gardens and Landscapes,,,,,,Public parks,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,,,,Other,,East Midlands,West Midlands,,,,,,North West of England,,,,,,,,,,,,,,,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,,,HMRC Time To Pay Scheme,,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,,,,Historic buildings (including industrial heritage sites),,,,,,,,,,,East of England,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,,,,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,,Awaiting further clarification of the Government support,More than 6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),501+,501+,Archaeology,,,Conservation Architecture/Project Management,,,,,,,Public parks,,,,,,,,,,,,Yorkshire and the Humber,,,,,,Supply chain problems,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),11-20,6-10,Archaeology,,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,Places of worship,Planning,,,,,,,,,,,,,,Loss or postponement of work,,,,,Supply chain problems,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Don’t know,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,Community heritage,,Gardens and Landscapes,,,,,Planning,Public parks,,Other,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,,,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,1-5,Archaeology,Archives,Community heritage,,,,Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,,,,,,,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,,Less than one month,Less than one month,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
Yes,Faith-based or church organisation,1-5,21-50,,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,,Yorkshire and the Humber,,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),501+,Don’t know,,Archives,,,,,,Maritime and transport heritage,,,,,,,,,,,,,,,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,1-5,0,Archaeology,,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,Other,,,West Midlands,,,,South West of England,,North West of England,,Loss or postponement of work,,,,,Supply chain problems,,,,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,2-3 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Other (please specify),51-100,11-20,,Archives,,,,,,,,,,,,,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Strongly agree
No,Other (please specify),0 (entirely voluntary),1-5,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,,All English regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Agree
Yes,Other (please specify),6-10,0,Archaeology,Archives,,,,Historic buildings (including industrial heritage sites),,,,Planning,,,Other,,,,East of England,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
No,Incorporated private sector organisation in the heritage sector,21-50,0,,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,Public parks,,,All English regions,East Midlands,West Midlands,East of England,London,South East of England,South West of England,,North West of England,Yorkshire and the Humber,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,,,Have had to furlough staff,Have had to lay staff off,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,HMRC Time To Pay Scheme,,3-4 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Other (please specify),501+,Don’t know,,Archives,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,Public parks,,,,,,,,,,,North West of England,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,Increased overheads,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Faith-based or church organisation,21-50,51-100,,,,,,,,,Places of worship,Planning,,,,All English regions,,,,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,Coronavirus Job Retention Scheme,,,,,,,,,,,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,South East of England,,,,,Loss or postponement of work,,,,,,,,,,,,,,Self-employment Income Support Scheme,,,,,,,,,3-4 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),1-5,0,Archaeology,,,,,Historic buildings (including industrial heritage sites),,,,Planning,,,Other,,,,,,South East of England,,,,,,,,,,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
